front                                                                     , back                                                                                                                                                                                                                                                             , next_review_date, interval_days, notes, tags
Economic status of tidal energy?                                          , "Early commercialization, high LCOE (e.g., ~$200-460/MWh NREL ATB 2024; ~€207/MWh 2022). Significant cost reduction potential targeted with deployment/arrays. High CAPEX barrier."                                                                              ,                 ,           1.0,      , 
Economic status of wave energy?                                           , "Least mature ocean tech, very high LCOE (e.g., ~$300-550/MWh NREL ATB 2024; ~€270-540/MWh). Requires significant R&D, policy support, cost reduction."                                                                                                          ,                 ,           1.0,      , 
What is geothermal energy?                                                , "Thermal energy stored within the Earth's crust, originating from planet formation and radioactive decay."                                                                                                                                                       ,                 ,           1.0,      , 
Three components typically needed for hydrothermal geothermal systems?    , "Heat, Fluid, and Permeability in underground reservoirs."                                                                                                                                                                                                       ,                 ,           1.0,      , 
What is Enhanced Geothermal Systems (EGS)?                                , Engineering technique to create/improve reservoirs in hot rock lacking natural permeability/fluid by drilling and hydraulic stimulation (fracturing).                                                                                                            ,                 ,           1.0,      , 
Basic principle of a heat pump?                                           , "Uses refrigeration cycle & electricity to transfer thermal energy from a lower-temperature source (air, ground, water) to a higher-temperature sink (building heating/hot water)."                                                                              ,                 ,           1.0,      , 
Three main types of geothermal power plants?                              , "1) Dry Steam (uses natural steam direct to turbine), 2) Flash Steam (high-temp water flashed to steam - most common), 3) Binary Cycle (uses geothermal heat via exchanger to vaporize secondary fluid for turbine)."                                            ,                 ,           1.0,      , 
Key advantage of binary cycle geothermal plants?                          , Can utilize lower-temperature resources (expanding potential); minimal/zero air emissions as geothermal fluid is in closed loop.                                                                                                                                 ,                 ,           1.0,      , 
Main types of heat pumps based on heat source?                            , "Air Source (ASHP - most common), Ground Source (GSHP / Geothermal HP - uses stable earth temp via ground loop), Water Source (WSHP - uses water body)."                                                                                                         ,                 ,           1.0,      , 
Common direct uses of geothermal heat (non-electricity)?                  , "District heating, space heating (buildings), agriculture (greenhouses, crop drying), aquaculture, industrial process heat, balneology (bathing)."                                                                                                               ,                 ,           1.0,      , 
Primary applications of heat pumps?                                       , "Space conditioning (heating and cooling) in residential, commercial, industrial buildings; Domestic Hot Water (DHW)."                                                                                                                                           ,                 ,           1.0,      , 
Key performance characteristic of geothermal power plants?                , "High capacity factors (often >90%), making them reliable baseload renewable power providers."                                                                                                                                                                   ,                 ,           1.0,      , 
How is heat pump efficiency measured?                                     , Coefficient of Performance (COP) for instantaneous efficiency; Seasonal COP (SCOP) or Seasonal Energy Efficiency Ratio (SEER for cooling) for seasonal average efficiency.                                                                                       ,                 ,           1.0,      , 
Typical COP ranges for ASHPs and GSHPs?                                   , "ASHP: 2.0-5.0 (varies with temp); GSHP: often higher/more stable, e.g., 3.6-4.1+ (ENERGY STAR)."                                                                                                                                                                ,                 ,           1.0,      , 
Main environmental advantages/concerns of geothermal power?               , "Advantages: Low GHG emissions (esp. binary), low water use (air-cooled binary), small land footprint. Concerns: Potential induced seismicity (esp. EGS), potential subsidence (mitigated by reinjection), H2S release (abated)."                                ,                 ,           1.0,      , 
Main direct environmental concern with heat pumps? How addressed?         , "Use of high-Global Warming Potential (GWP) refrigerants (HFCs like R-410A, R-32). Addressed by regulations (Kigali, F-Gas) phasing down HFCs and transitioning to low-GWP alternatives (hydrocarbons R-290, HFOs, CO2 R-744)."                                  ,                 ,           1.0,      , 
Geographic constraints for conventional vs. EGS geothermal?               , Conventional high-temp hydrothermal resources limited (tectonic boundaries/hotspots). EGS aims to unlock geothermal potential virtually anywhere by accessing hot rock at depth.                                                                                 ,                 ,           1.0,      , 
"Major economic barrier for geothermal power, especially EGS?"            , "High upfront Capital Expenditures (CAPEX), particularly for exploration and drilling (can be >50% of cost)."                                                                                                                                                    ,                 ,           1.0,      , 
Main economic challenge for heat pump adoption?                           , Higher upfront purchase and installation costs compared to conventional fossil fuel systems (though Total Cost of Ownership may be lower due to efficiency). Incentives often crucial.                                                                           ,                 ,           1.0,      , 
Key factors influencing social acceptance of geothermal projects?         , "Concerns about induced seismicity (esp. EGS), potential groundwater impacts, land use, noise. Requires transparency, community engagement, trust-building."                                                                                                     ,                 ,           1.0,      , 
Differentiate traditional vs. modern biomass use.                         , "Traditional: inefficient, direct combustion (wood, dung) in simple stoves; high pollution/health impacts; often unsustainable. Modern: efficient/cleaner conversion tech (boilers, gasification, AD, biofuels); focus on sustainability & minimizing emissions.",                 ,           1.0,      , 
Describe direct combustion for biomass energy.                            , "Burning biomass feedstock (chips, pellets, residues, MSW) in boilers to generate steam for turbines (power/CHP). Tech includes stoker, fluidized-bed (BFB, CFB), co-firing with fossil fuels."                                                                  ,                 ,           1.0,      , 
What is biomass gasification?                                             , "Thermochemical conversion at high temperature (500–1400°C) with limited oxidant to produce synthesis gas (syngas: CO, H2, CH4) usable for heat, power, or synthesizing fuels/chemicals."                                                                        ,                 ,           1.0,      , 
What is biomass pyrolysis?                                                , "Thermal decomposition of biomass at moderate/high temperature (400–800°C) in the complete absence of oxygen. Yields bio-oil, biochar, and syngas."                                                                                                              ,                 ,           1.0,      , 
What is Anaerobic Digestion (AD)?                                         , "Biochemical process where microorganisms break down wet organic matter (manure, food waste, sludge) in an oxygen-free environment, producing biogas (CH4, CO2) and digestate (fertilizer)."                                                                     ,                 ,           1.0,      , 
What is biogas typically composed of? Can it be upgraded?                 , "Primarily methane (CH4, 50-75%) and carbon dioxide (CO2, 15-60%), with trace impurities. Can be upgraded to biomethane/Renewable Natural Gas (RNG) by removing CO2 etc."                                                                                        ,                 ,           1.0,      , 
Name two main pathways for liquid biofuel production.                     , 1) Fermentation: Converting sugars/starches (from crops or lignocellulose) into ethanol using microbes. 2) Oil Extraction & Transesterification: Reacting vegetable oils/animal fats with alcohol to produce biodiesel (FAME).                                   ,                 ,           1.0,      , 
Main categories of biomass feedstocks?                                    , "Forestry Resources (residues, thinnings), Agricultural Resources (crop residues, energy crops like switchgrass), Waste Streams (MSW, food waste, manure, sludge, landfill gas), Aquatic Biomass (algae, seaweed)."                                              ,                 ,           1.0,      , 
Key challenges in biomass supply chains?                                  , "Low bulk density, high moisture content, heterogeneity (varying properties), seasonality & geographic dispersion, storage degradation/cost, high overall logistics cost."                                                                                       ,                 ,           1.0,      , 
Pre-treatment methods to improve biomass logistics/conversion?            , "Size Reduction (grinding/chipping), Drying (reduce moisture), Densification (pelleting, briquetting to increase bulk density), Torrefaction (mild pyrolysis for 'bio-coal')."                                                                                   ,                 ,           1.0,      , 
Is biomass energy inherently carbon neutral? Explain briefly.             , "No. Neutrality depends on sustainable sourcing (avoiding deforestation/LUC, maintaining forest carbon stocks), timescale of regrowth vs. emission (""carbon debt""), and full Life Cycle Assessment (LCA) emissions."                                           ,                 ,           1.0,      , 
"What is ""carbon debt"" in biomass context?"                             , "The temporary increase in atmospheric CO2 after harvesting biomass (esp. trees) for energy, lasting until forest regrowth fully compensates for the combustion emissions."                                                                                      ,                 ,           1.0,      , 
What is the risk of Land Use Change (LUC) from biomass production?        , "Converting forests or other high-carbon ecosystems for biomass production can release large amounts of stored carbon, potentially negating any climate benefits of displacing fossil fuels."                                                                    ,                 ,           1.0,      , 
Other key sustainability concerns for biomass energy (besides carbon/LUC)?, "Competition with food production, biodiversity loss (habitat conversion), air quality impacts (PM2.5, NOx, black carbon), water resource use (irrigation) and quality (runoff)."                                                                                ,                 ,           1.0,      , 
Why is Life Cycle Assessment (LCA) crucial for evaluating bioenergy?      , "It quantifies overall environmental impacts (GHGs, pollutants, resource use) across the entire value chain (feedstock production, transport, conversion, use) to compare pathways and identify hotspots."                                                       ,                 ,           1.0,      , 
Why is a systems perspective crucial for high VRE integration?            , "VRE impacts all parts of the power system (generation, grids, demand). A holistic view is needed to coordinate planning/operation and ensure flexibility, reliability, and stability."                                                                          ,                 ,           1.0,      , 
Key grid challenges from VRE intermittency (solar/wind)?                  , "Balancing variable supply/demand, steep ramping requirements (net load changes, ""duck curve""), potential energy curtailment, reduced system inertia impacting frequency/voltage stability."                                                                   ,                 ,           1.0,      , 
How does energy storage mitigate VRE intermittency challenges?            , "By decoupling generation from consumption: storing excess renewable energy and releasing it when needed, providing flexibility and essential grid services."                                                                                                    ,                 ,           1.0,      , 
List key grid services provided by energy storage.                        , "Energy Arbitrage/Time-Shifting, Renewable Output Smoothing/Firming, Peak Shaving/Capacity, Frequency Regulation, Operating Reserves, Ramping Support, Voltage Support, T&D Congestion Relief/Deferral, Black Start capability."                                 ,                 ,           1.0,      , 
Major categories of energy storage technologies?                          , "Mechanical (PHS, CAES, Flywheels), Electrochemical (Batteries: Li-ion, flow, etc.), Thermal (Sensible Heat, Latent Heat, Thermochemical), Chemical (Hydrogen)."                                                                                                 ,                 ,           1.0,      , 
What is Pumped Hydro Storage (PHS)?                                       , "A mechanical storage method: uses electricity to pump water uphill to a reservoir, then releases water downhill through turbines to generate electricity when needed. Most mature large-scale storage."                                                         ,                 ,           1.0,      , 
What is Compressed Air Energy Storage (CAES)?                             , "A mechanical storage method: uses electricity to compress air and store it (often underground), then releases the air (often heated) to drive turbines for generation."                                                                                         ,                 ,           1.0,      , 
What is electrochemical storage (batteries)?                              , "Stores energy via reversible chemical reactions. Converts chemical energy to electrical energy during discharge and vice-versa during charge (e.g., Lithium-ion, flow batteries)."                                                                              ,                 ,           1.0,      , 
What is thermal energy storage (TES)?                                     , "Stores energy as heat in materials. Can be Sensible Heat (temperature change), Latent Heat (phase change, e.g., molten salt), or Thermochemical (reversible chemical reactions)."                                                                               ,                 ,           1.0,      , 
How can hydrogen be used for energy storage?                              , "As a chemical energy carrier: electricity (often excess renewables) used for electrolysis to produce H2, which is stored and later converted back to electricity (fuel cells) or used directly as fuel."                                                        ,                 ,           1.0,      , 
Potential role of hydrogen in the energy transition?                      , "Energy carrier for decarbonizing hard-to-abate sectors (industry, transport), enabling long-duration energy storage, grid flexibility."                                                                                                                         ,                 ,           1.0,      , 
"Potential role of Carbon Capture, Utilization, and Storage (CCUS)?"      , "Mitigating CO2 emissions from industrial processes and power generation (esp. fossil fuels), potential pathway for negative emissions via Bioenergy with Carbon Capture and Storage (BECCS)."                                                                   , 2025-04-14      ,           1.2,      , 
What is BECCS?                                                            , "Bioenergy with Carbon Capture and Storage: Combining biomass energy conversion with capturing the resulting CO2 emissions and storing them geologically, potentially leading to net-negative emissions."                                                        ,                 ,           1.0,      , 
