front,back,next_review_date,interval_days,notes,tags
What are the two main viewpoints or models for analyzing fluid flow?,Eulerian (observing fluid as it passes through fixed points or control volumes in space) and Lagrangian (following the trajectory and properties of individual fluid particles/elements as they move).,2024-07-27,1.0,,CFD;FluidDynamics;Models
What is the physical principle behind the continuity equation?,"Mass is conserved. For a control volume, the net rate of mass flow out must equal the time rate of decrease of mass inside the volume.",2024-07-27,1.0,,CFD;GoverningEquations;Continuity;Physics
Outline the derivation concept for the continuity equation in conservation form (fixed control volume).,"1. Define a fixed small Cartesian element (dx dy dz). 2. Calculate mass flow rate across each face (inflow vs outflow based on density ρ and velocity u,v,w). 3. Sum the net mass outflow rate in x, y, z directions. 4. Calculate the time rate of mass change inside the element (∂ρ/∂t * dxdydz). 5. Equate net mass outflow rate to the negative rate of mass increase inside (conservation principle).",2024-07-27,1.0,Leads to ∂ρ/∂t + ∂(ρu)/∂x + ∂(ρv)/∂y + ∂(ρw)/∂z = 0,CFD;GoverningEquations;Continuity;Derivation
What is the Einstein summation / tensor notation convention?,"When an index appears exactly twice in a term, summation over that index (usually from 1 to 3 for spatial dimensions x, y, z) is implied, making equations more compact.",2024-07-27,1.0,Example: ∂uᵢ/∂xᵢ means ∂u₁/∂x₁ + ∂u₂/∂x₂ + ∂u₃/∂x₃,CFD;Math;Notation;Tensor
Write the continuity equation (conservation form) in Cartesian coordinates.,∂ρ/∂t + ∂(ρu)/∂x + ∂(ρv)/∂y + ∂(ρw)/∂z = 0,2024-07-27,1.0,,CFD;GoverningEquations;Continuity;Equation
Write the continuity equation (conservation form) in tensor and vector notation.,Tensor: ∂ρ/∂t + ∂(ρuᵢ)/∂xᵢ = 0 (sum over i). Vector: ∂ρ/∂t + ∇ ⋅ (ρ**V**) = 0,2024-07-27,1.0,"**V** is the velocity vector [u, v, w]. ∇ is the del operator [∂/∂x, ∂/∂y, ∂/∂z].",CFD;GoverningEquations;Continuity;Equation;Notation
What is the physical meaning of the divergence of the velocity field (∇ ⋅ V)?,"It represents the time rate of change of the volume of a moving fluid element, per unit volume. It measures the local 'expansion' (positive divergence) or 'compression' (negative divergence) of the fluid.",2025-04-17,2.5,"For incompressible flow, ∇ ⋅ V = 0.",CFD;Math;VectorCalculus;Divergence
What are the two common forms of the continuity equation?,"The conservation form (e.g., ∂ρ/∂t + ∇ ⋅ (ρ**V**) = 0) and the non-conservation form (Dρ/Dt + ρ(∇ ⋅ **V**) = 0).",2024-07-27,1.0,D/Dt is the substantial derivative.,CFD;GoverningEquations;Continuity
"Define the Substantial (or Total) Derivative (D/Dt), Local Derivative (∂/∂t), and Convective Derivative ((V ⋅ ∇)).",Substantial Derivative (D/Dt): Time rate of change of a property following a moving fluid element. Local Derivative (∂/∂t): Time rate of change at a fixed point in space. Convective Derivative ((**V** ⋅ ∇)): Time rate of change due to the movement of the fluid element through spatial gradients of the property. Relation: D/Dt = ∂/∂t + (**V** ⋅ ∇).,2024-07-27,1.0,,CFD;Math;Derivatives;FluidDynamics
"Give an example illustrating the substantial, local, and convective derivatives using temperature change.","Hiking into a cooler cave: Experienced temperature decrease due to moving into colder air (Convective derivative). At the same instant, sun goes behind a cloud causing air at your location to cool (Local derivative). The total rate of temperature change you feel is the sum of both (Substantial derivative).",2024-07-27,1.0,Source text uses snowball impact for local change.,CFD;Math;Derivatives;Example
Show how the conservation and non-conservation forms of the continuity equation are equivalent.,Start with conservation form: ∂ρ/∂t + ∇ ⋅ (ρ**V**) = 0. Expand the divergence using product rule: ∂ρ/∂t + ρ(∇ ⋅ **V**) + **V** ⋅ (∇ρ) = 0. Group terms: (∂ρ/∂t + **V** ⋅ ∇ρ) + ρ(∇ ⋅ **V**) = 0. Recognize the term in parentheses as the substantial derivative of density (Dρ/Dt). Result: Dρ/Dt + ρ(∇ ⋅ **V**) = 0 (Non-conservation form).,2024-07-27,1.0,,CFD;GoverningEquations;Continuity;Derivation
What physical principle is used to derive the momentum equations?,"Conservation of Momentum, specifically Newton's Second Law (**F**=m**a**) applied to a fluid element.",2024-07-27,1.0,,CFD;GoverningEquations;Momentum;Physics;NavierStokes
"When deriving the momentum equation using a Lagrangian approach (following a fluid element), what is the fundamental equation applied?",Newton's Second Law: Net Force acting on the fluid element = (Mass of the element) × (Acceleration of the element). **F** = m**a**.,2024-07-27,1.0,Acceleration **a** is the substantial derivative of velocity D**V**/Dt.,CFD;GoverningEquations;Momentum;Derivation
What are the two main categories of forces acting on a fluid element in the momentum equation?,"1. Body forces (act on the entire volume/mass of the element, e.g., gravity, electromagnetic forces). 2. Surface forces (act on the surface of the element, e.g., pressure forces, viscous forces - normal and shear stresses).",2024-07-27,1.0,,CFD;GoverningEquations;Momentum;Forces
What do viscous shear and normal stresses physically relate to?,They relate to the internal friction within the fluid and the rate of deformation of the fluid element. Shear stresses are related to the rate of angular (shearing) deformation. Normal stresses are related to the rate of linear deformation or volume change.,2024-07-27,1.0,They depend on the fluid viscosity and velocity gradients.,CFD;FluidDynamics;Stress;Viscosity
"If gravity is the only body force, how is the body force term represented in the momentum equation per unit volume?","As ρ**g**, where ρ is the fluid density and **g** is the gravitational acceleration vector. For the x-component, it is ρfₓ, where fₓ is the x-component of **g**.",2024-07-27,1.0,,CFD;GoverningEquations;Momentum;Forces
Explain the stress tensor notation τᵢⱼ.,"τᵢⱼ represents the viscous stress acting on a plane perpendicular to the i-axis, in the j-direction. τᵢᵢ (e.g., τₓₓ) is a normal viscous stress. τᵢⱼ where i ≠ j (e.g., τₓ<0xE1><0xB5><0xA7>) is a shear viscous stress. Pressure p is typically treated separately.",2024-07-27,1.0,"Note: Sometimes σᵢⱼ is used for total stress (including pressure), σᵢⱼ = -pδᵢⱼ + τᵢⱼ.",CFD;FluidDynamics;Stress;Notation;Tensor
Express the net surface force *per unit volume* in the x-direction acting on a fluid element.,"f<0xE2><0x82><0x9B><0xE1><0xB5><0xA3>,<0xE2><0x82><0x99> = -∂p/∂x + ∂τₓₓ/∂x + ∂τ<0xE1><0xB5><0xA7>ₓ/∂y + ∂τ<0xE1><0xB5><0xB3>ₓ/∂z",2025-04-17,2.5,This is the divergence of the x-row of the stress tensor.,CFD;GoverningEquations;Momentum;Forces;Stress
Write the general form of the x-component of the momentum equation (Newton's 2nd Law per unit volume).,ρ(Du/Dt) = -∂p/∂x + ∂τₓₓ/∂x + ∂τ<0xE1><0xB5><0xA7>ₓ/∂y + ∂τ<0xE1><0xB5><0xB3>ₓ/∂z + ρfₓ,2024-07-27,1.0,"Left side is mass*acceleration (per unit volume), right side is sum of surface and body forces (per unit volume).",CFD;GoverningEquations;Momentum;Equation
Write the general momentum equations for the y and z components.,ρ(Dv/Dt) = -∂p/∂y + ∂τₓ<0xE1><0xB5><0xA7>/∂x + ∂τ<0xE1><0xB5><0xA7><0xE1><0xB5><0xA7>/∂y + ∂τ<0xE1><0xB5><0xB3><0xE1><0xB5><0xA7>/∂z + ρf<0xE1><0xB5><0xA7>. ρ(Dw/Dt) = -∂p/∂z + ∂τₓ<0xE1><0xB5><0xB3>/∂x + ∂τ<0xE1><0xB5><0xA7><0xE1><0xB5><0xB3>/∂y + ∂τ<0xE1><0xB5><0xB3><0xE1><0xB5><0xB3>/∂z + ρf<0xE1><0xB5><0xB3>.,2024-07-27,1.0,,CFD;GoverningEquations;Momentum;Equation
"For a Newtonian fluid, what is the relationship between viscous stress and the rate of strain?",Viscous stress is linearly proportional to the rate of strain (tensor based on velocity gradients). The constant of proportionality involves the dynamic viscosity (μ) and sometimes bulk viscosity.,2025-04-17,2.5,,CFD;FluidDynamics;Viscosity;Newtonian;Stress
Write the Stokes' relations for viscous stress components in a Newtonian fluid.,"τᵢⱼ = μ(∂uᵢ/∂xⱼ + ∂uⱼ/∂xᵢ) + δᵢⱼ λ (∇⋅**V**). Where μ is dynamic viscosity, λ is second coefficient of viscosity (often assumed λ = -2/3 μ via Stokes' hypothesis). δᵢⱼ is Kronecker delta. Explicitly: τₓₓ = 2μ(∂u/∂x) + λ(∇⋅**V**), τₓ<0xE1><0xB5><0xA7> = μ(∂u/∂y + ∂v/∂x), etc.",2024-07-27,1.0,λ(∇⋅**V**) term is related to volumetric expansion/compression.,CFD;FluidDynamics;Stress;Viscosity;Newtonian;Stokes
How do the Stokes' stress relations simplify for an incompressible Newtonian fluid?,"For incompressible flow, ∇⋅**V** = 0. The relations become: τᵢⱼ = μ(∂uᵢ/∂xⱼ + ∂uⱼ/∂xᵢ). Explicitly: τₓₓ = 2μ(∂u/∂x), τ<0xE1><0xB5><0xA7><0xE1><0xB5><0xA7> = 2μ(∂v/∂y), τₓ<0xE1><0xB5><0xA7> = μ(∂u/∂y + ∂v/∂x), etc.",2024-07-27,1.0,,CFD;FluidDynamics;Stress;Viscosity;Newtonian;Incompressible;Stokes
Expand the substantial derivative Du/Dt in the x-momentum equation in Cartesian coordinates.,Du/Dt = ∂u/∂t + u(∂u/∂x) + v(∂u/∂y) + w(∂u/∂z),2024-07-27,1.0,This is the non-conservative form of the acceleration term.,CFD;GoverningEquations;Momentum;Derivatives
Write the x-momentum equation for an *incompressible* Newtonian fluid (Navier-Stokes) and identify the terms.,"ρ(∂u/∂t [A] + u ∂u/∂x + v ∂u/∂y + w ∂u/∂z [B]) = -∂p/∂x [C] + μ(∂²u/∂x² + ∂²u/∂y² + ∂²u/∂z²) [D] + ρfₓ [E]. [A]=Local Acceleration (Unsteady term), [B]=Convective Acceleration (Inertia/Advection term), [C]=Pressure Gradient Force, [D]=Viscous Force (Diffusion term), [E]=Body Force.",2024-07-27,1.0,[A]+[B]=Total Acceleration; [C]+[D]+[E]=Total Force (per unit volume).,CFD;GoverningEquations;Momentum;NavierStokes;Incompressible;Equation
Write the incompressible Navier-Stokes momentum equation using tensor notation (non-conservation form).,ρ(∂uᵢ/∂t + uⱼ ∂uᵢ/∂xⱼ) = -∂p/∂xᵢ + μ ∂²uᵢ/∂xⱼ∂xⱼ + ρfᵢ. (Summation implied over repeated index j).,2024-07-27,1.0,"Index i represents the component (1=x, 2=y, 3=z).",CFD;GoverningEquations;Momentum;NavierStokes;Incompressible;Notation;Tensor
List the governing equations typically solved for incompressible CFD.,"1. Continuity Equation: ∇⋅**V** = 0 (or ∂uᵢ/∂xᵢ = 0). 2. Momentum Equations (Navier-Stokes, 3 components): ρ(D**V**/Dt) = -∇p + μ∇²**V** + ρ**f** (or tensor form).",2024-07-27,1.0,"This gives 4 equations for 4 unknowns: u, v, w, p (since ρ=constant).",CFD;GoverningEquations;Incompressible;NavierStokes
What is the physical principle behind the energy equation?,"Conservation of Energy, derived from the First Law of Thermodynamics.",2024-07-27,1.0,,CFD;GoverningEquations;Energy;Physics
State the energy balance for a fluid element (conceptual form of the energy equation).,Rate of change of energy (Internal Energy E + Kinetic Energy KE) within the fluid element = Net rate of heat transfer into the element (Conduction Q_cond + Volumetric Heating Q_vol) + Net rate of work done on the element (by Body Forces W_body + Surface Forces W_surf).,2024-07-27,1.0,W_surf includes work by pressure and viscous stresses.,CFD;GoverningEquations;Energy;Physics
What phenomena are typically NOT described by the basic Navier-Stokes + Energy equations?,Mass diffusion driven by concentration gradients (requires species transport equations) and chemical reactions (requires reaction kinetics models).,2024-07-27,1.0,,CFD;GoverningEquations;Limitations
"For a general compressible flow problem, why are additional equations needed beyond continuity, momentum, and energy? How many unknowns/equations?","Basic equations give 5 scalar equations (1 continuity, 3 momentum, 1 energy). But there are 7 unknowns: u, v, w, p, ρ, e (internal energy), T (temperature). We need 2 additional equations: typically a thermodynamic equation of state (e.g., ideal gas law p = ρRT) and a caloric equation of state relating energy to temperature (e.g., e = c<0xE1><0xB5><0xA4>T for a calorically perfect gas).",2024-07-27,1.0,,CFD;GoverningEquations;Compressible
Characterize the mathematical nature of the governing equations of fluid dynamics.,"They form a system of coupled, non-linear, partial differential equations (PDEs).",2024-07-27,1.0,"'Coupled' means variables appear in multiple equations. 'Non-linear' due to convective terms (e.g., u ∂u/∂x).",CFD;GoverningEquations;Math;PDEs
"Write the continuity equation for incompressible flow in Cartesian, Tensor, and Vector form.",Cartesian: ∂u/∂x + ∂v/∂y + ∂w/∂z = 0. Tensor: ∂uᵢ/∂xᵢ = 0. Vector: ∇ ⋅ **V** = 0.,2024-07-27,1.0,,CFD;GoverningEquations;Continuity;Incompressible;Equation;Notation
What does it mean mathematically and physically if the velocity field V is divergence-free (∇ ⋅ V = 0)?,"Mathematically, the vector field **V** is called 'solenoidal'. Physically, for fluid flow, it signifies that the flow is incompressible (constant density) or at least that the density following a fluid particle is constant (material derivative of density is zero). It implies the local rate of volume change ('dilation') is zero.",2024-07-27,1.0,,CFD;Math;VectorCalculus;Divergence;Incompressible
Write the incompressible Navier-Stokes momentum equation in *conservation* form (x-component).,ρ(∂u/∂t + ∂(uu)/∂x + ∂(vu)/∂y + ∂(wu)/∂z) = -∂p/∂x + μ∇²u + ρfₓ,2024-07-27,1.0,∇²u = (∂²u/∂x² + ∂²u/∂y² + ∂²u/∂z²). Compare convective term ∂(uᵢuⱼ)/∂xⱼ to non-conservation form uⱼ∂uᵢ/∂xⱼ.,CFD;GoverningEquations;Momentum;NavierStokes;Incompressible;ConservationForm;Equation
Show the equivalence between non-conservation (uⱼ∂uᵢ/∂xⱼ) and conservation (∂(uᵢuⱼ)/∂xⱼ) forms of the convective term for *incompressible* flow.,"Start with conservation form divergence ∂(uᵢuⱼ)/∂xⱼ. Apply product rule: uⱼ(∂uᵢ/∂xⱼ) + uᵢ(∂uⱼ/∂xⱼ). For incompressible flow, the continuity equation is ∂uⱼ/∂xⱼ = ∇⋅**V** = 0. Therefore, the second term uᵢ(∂uⱼ/∂xⱼ) vanishes. This leaves uⱼ(∂uᵢ/∂xⱼ), which is the non-conservation form.",2024-07-27,1.0,Summation over j is implied.,CFD;GoverningEquations;Momentum;Incompressible;Derivation
Describe Plane Couette flow and state its analytical velocity profile solution.,"Shear-driven flow between two infinite parallel plates separated by distance 2h. Lower plate stationary, upper plate moves at constant velocity V. Assumptions: steady, incompressible, laminar, fully developed, no pressure gradient (dp/dx=0). Velocity profile: u(y) = V(y+h)/(2h) (if y=0 is midway) or u(y) = V*y / (2h) (if y=0 is at lower plate). Text uses u(y) = V/2 + Vy/(2h) for y in [-h, h].",2024-07-27,1.0,Linear velocity profile.,CFD;AnalyticalSolution;LaminarFlow;CouetteFlow
Outline the steps to derive the Plane Couette flow solution from Navier-Stokes.,"1. Start with incompressible N-S equations. 2. Apply assumptions: Steady (∂/∂t=0), Fully developed (∂u/∂x=0), 2D flow (w=0, ∂/∂z=0), No pressure gradient (∂p/∂x=0), No body forces (f=0). 3. Continuity (∂u/∂x + ∂v/∂y = 0) -> ∂v/∂y = 0. With v=0 at walls, v=0 everywhere. 4. Simplified x-momentum: 0 = μ d²u/dy². 5. Integrate twice: u(y) = C₁y + C₂. 6. Apply boundary conditions (BCs): u(y=-h)=0 and u(y=h)=V (if y=0 is midway). 7. Solve for constants C₁ and C₂ to get the linear profile.",2024-07-27,1.0,,CFD;AnalyticalSolution;LaminarFlow;CouetteFlow;Derivation
Describe Plane Poiseuille flow and state its analytical velocity profile.,"Pressure-driven flow between two infinite stationary parallel plates separated by distance 2h. Assumptions: steady, incompressible, laminar, fully developed. Driven by a constant pressure gradient dp/dx. Velocity profile: u(y) = (-1/(2μ))(dp/dx)(h² - y²).",2024-07-27,1.0,Parabolic velocity profile.,CFD;AnalyticalSolution;LaminarFlow;PoiseuilleFlow
Describe Hagen-Poiseuille flow and state its analytical velocity profile.,"Pressure-driven flow in a circular pipe of radius R. Assumptions: steady, incompressible, laminar, fully developed, axisymmetric. Driven by a constant pressure gradient dp/dx. Velocity profile: u(r) = (-1/(4μ))(dp/dx)(R² - r²).",2025-04-16,1.2,Parabolic velocity profile in cylindrical coordinates (r is radial distance from center).,CFD;AnalyticalSolution;LaminarFlow;PoiseuilleFlow;PipeFlow
How can the same governing equations (Navier-Stokes) describe diverse flows like flow over an aircraft or flow in a pipe?,"The specific flow behavior is determined by the problem's geometry, the fluid properties (like viscosity, density, related through Re), and crucially, the boundary conditions (and initial conditions if unsteady) applied to the governing equations.",2024-07-27,1.0,,CFD;GoverningEquations;BoundaryConditions
What role do boundary conditions play in CFD? Give examples.,"Boundary conditions (BCs) specify the state of the flow variables (velocity, pressure, etc.) at the boundaries of the computational domain. They are essential for obtaining a unique and physically realistic solution. Examples: Inlet (specified velocity/pressure), Outlet (specified pressure, zero gradient), Wall (no-slip for viscous flow, symmetry), Far-field.",2024-07-27,1.0,,CFD;BoundaryConditions;Modeling
Contrast the velocity boundary condition at a solid wall for viscous vs. inviscid flow assumptions.,"Viscous flow: No-slip condition. The fluid velocity relative to the wall is zero (**V**_fluid = **V**_wall). Both normal and tangential components are zero relative to the wall. Inviscid flow: Slip condition (or flow tangency). The fluid velocity component normal to the wall is zero, but the tangential component can be non-zero (fluid can slide along the wall).",2024-07-27,1.0,,CFD;BoundaryConditions;Viscous;Inviscid
What does a 'fully-developed flow' boundary condition imply?,It implies that the velocity profile (and potentially other flow properties like temperature profile) does not change in the streamwise direction. ∂(velocity profile)/∂(streamwise direction) = 0. Often used at outlets far downstream from entrances or disturbances.,2024-07-27,1.0,,CFD;BoundaryConditions;Modeling
Why is there no single general analytical method for all fluid motion problems?,"Mainly due to the inherent non-linearity of the Navier-Stokes equations (especially the convective acceleration terms) and the emergence of complex, chaotic phenomena like turbulence in many flows of practical interest.",2024-07-27,1.0,,CFD;FluidDynamics;Turbulence;NavierStokes
Describe laminar flow.,"Flow regime characterized by smooth, orderly fluid motion where fluid particles move in well-defined paths or layers (streamlines) with minimal mixing between adjacent layers. Typically occurs at low Reynolds numbers.",2024-07-27,1.0,,FluidDynamics;LaminarFlow;ReynoldsNumber
Describe turbulent flow.,"Flow regime characterized by chaotic, irregular, unsteady, and three-dimensional fluid motion with significant mixing across streamlines. Contains eddies (vortices) of various sizes. Typically occurs at moderate to high Reynolds numbers.",2024-07-27,1.0,,FluidDynamics;TurbulentFlow;ReynoldsNumber
Briefly describe Osborne Reynolds' 1883 experiment.,"Reynolds observed water flow through a glass pipe, injecting a thin filament of dye. At low flow rates, the dye streak remained distinct and straight (laminar flow). As the flow rate increased, the dye streak began to oscillate and eventually broke up, rapidly mixing across the entire pipe cross-section (turbulent flow), demonstrating the transition dependent on flow conditions (related to Reynolds number).",2024-07-27,1.0,,FluidDynamics;Turbulence;History;ReynoldsNumber;Experiment
What is the process of change from laminar to turbulent flow called?,Transition.,2024-07-27,1.0,,FluidDynamics;Turbulence;Transition
Explain the interplay between inertia and viscous forces in laminar vs. turbulent flow based on disturbances.,"In laminar flow, viscous forces are relatively strong compared to inertial forces. They tend to damp out any small disturbances, maintaining smooth flow. In turbulent flow, inertial forces are dominant. They tend to amplify disturbances, leading to chaotic motion and eddy formation, overcoming the damping effect of viscosity.",2024-07-27,1.0,Reflected in the Reynolds number definition.,FluidDynamics;Turbulence;LaminarFlow;Viscosity;Inertia
What is the primary dimensionless parameter used to predict the onset of turbulence? Define it.,"The Reynolds number (Re). It represents the ratio of inertial forces to viscous forces. Re = ρUL/μ = UL/ν, where ρ=density, U=characteristic velocity, L=characteristic length scale, μ=dynamic viscosity, ν=kinematic viscosity (μ/ρ).",2024-07-27,1.0,,FluidDynamics;Turbulence;ReynoldsNumber;DimensionlessNumbers
"Besides Reynolds number, what other factors influence the transition to turbulence?","Surface roughness of boundaries, geometric features (e.g., sharp corners, curvature), pressure gradients (adverse gradients promote transition), level of disturbances in the incoming flow (free-stream turbulence), vibrations.",2024-07-27,1.0,,FluidDynamics;Turbulence;Transition
Describe the nature of fluctuations in turbulent flow.,"Turbulent flow consists of a mean (time-averaged) motion plus superimposed irregular, random-like fluctuations in velocity, pressure, and other properties. These fluctuations occur across a wide range of time and length scales, are three-dimensional, and highly vortical.",2024-07-27,1.0,"While chaotic, they have statistical properties.",FluidDynamics;Turbulence;Characteristics
"How do turbulent fluctuations affect transport processes (mass, heat, momentum)?","The chaotic motion and mixing associated with turbulent eddies greatly enhance the transport rates of mass, momentum, and heat compared to molecular diffusion alone (which dominates in laminar flow). This is often referred to as 'turbulent diffusion' or 'eddy diffusivity'.",2024-07-27,1.0,,FluidDynamics;Turbulence;TransportPhenomena;Mixing
What structures characterize turbulent flow? Describe them briefly.,"Turbulence is characterized by eddies: swirling, vortical structures of fluid. These eddies exist in a wide range of sizes (scales), are three-dimensional, interact dynamically, and are constantly being created (from larger eddies breaking down or flow instabilities) and destroyed (dissipated by viscosity at the smallest scales).",2024-07-27,1.0,,FluidDynamics;Turbulence;Eddies;Structure
Describe the range of scales (eddies) present in turbulent flow (Energy Cascade concept).,"Turbulence involves an energy cascade: Large eddies, comparable in size to the flow geometry, contain most of the kinetic energy and are generated by instabilities in the mean flow. These large eddies are unstable and break down, transferring their energy to progressively smaller eddies. This cascade continues until the eddies are small enough (Kolmogorov scale) for viscosity to become dominant and dissipate the kinetic energy into heat.",2024-07-27,1.0,,FluidDynamics;Turbulence;Eddies;EnergyCascade
Is turbulence a conservative or dissipative process? Explain.,"Turbulence is inherently dissipative. Although the large eddies transfer energy to smaller scales largely without loss, the viscous forces acting most effectively at the smallest scales (Kolmogorov scales) convert the turbulent kinetic energy into internal energy (heat), thus dissipating mechanical energy from the flow.",2024-07-27,1.0,,FluidDynamics;Turbulence;EnergyCascade;Dissipation
How does the rate of energy dissipation in turbulent flow compare to laminar flow?,"The rate of viscous energy dissipation per unit volume is significantly higher in turbulent flow than in an equivalent laminar flow, due to the much larger velocity gradients associated with the small-scale turbulent eddies.",2024-07-27,1.0,,FluidDynamics;Turbulence;LaminarFlow;Dissipation
Can the Navier-Stokes equations describe turbulent flow? Why is CFD often needed?,"Yes, the full, time-dependent Navier-Stokes equations are believed to accurately describe turbulent motion (down to the smallest scales). However, resolving this vast range of time and length scales analytically is impossible, and numerically (DNS) is computationally prohibitive for most engineering problems. Therefore, CFD approaches using turbulence models (RANS, LES) are typically employed.",2024-07-27,1.0,,CFD;Turbulence;NavierStokes;DNS
"Name the three main computational approaches for simulating turbulent flows, in order of increasing computational cost.",1. Reynolds-Averaged Navier-Stokes (RANS). 2. Large Eddy Simulation (LES). 3. Direct Numerical Simulation (DNS).,2024-07-27,1.0,,CFD;Turbulence;Modeling;DNS;LES;RANS
Describe Direct Numerical Simulation (DNS). What are its characteristics and limitations?,"DNS solves the exact, unfiltered Navier-Stokes equations numerically, resolving all scales of turbulent motion from the largest energy-containing eddies down to the smallest dissipative (Kolmogorov) scales. No turbulence modeling is involved. Pros: Highest accuracy. Cons: Extremely high computational cost (mesh points ~ Re⁹ᐟ⁴), limiting it to low Reynolds numbers and simple geometries, primarily a research tool.",2024-07-27,1.0,,CFD;Turbulence;DNS;Modeling
Describe Large Eddy Simulation (LES). What is its core idea and requirement?,"LES directly computes the large, energy-containing turbulent eddies by solving spatially filtered Navier-Stokes equations. The effects of the smaller, unresolved 'sub-grid scales' (SGS) on the resolved scales are modeled using an SGS model. Pros: More accurate than RANS for capturing unsteady turbulent structures. Cons: More computationally expensive than RANS; requires finer meshes; SGS modeling introduces approximations. Mesh must resolve large eddies.",2024-07-27,1.0,,CFD;Turbulence;LES;Modeling
Describe the Reynolds-Averaged Navier-Stokes (RANS) approach. What does it solve for?,"RANS is based on decomposing instantaneous flow quantities into a time-averaged (mean) component and a fluctuating component (e.g., u = U + u'). The Navier-Stokes equations are then time-averaged. This process introduces new terms, the Reynolds stresses (e.g., -ρ<0xE2><0x9F><0xA8>u'ᵢu'ⱼ<0xE2><0x9F><0xA9>), which represent the effect of turbulence on the mean flow and must be modeled using empirical turbulence models (e.g., k-ε, k-ω). RANS solves only for the mean flow quantities. Pros: Computationally least expensive, widely used in engineering. Cons: All turbulence effects are modeled, accuracy depends heavily on the model choice, inherently steady-state or ensemble-averaged view.",2024-07-27,1.0,,CFD;Turbulence;RANS;Modeling;ReynoldsAveraging
Define the key variables and 'wall units' (inner variables) used for near-wall turbulent flow analysis.,"Key Variables: ν (kinematic viscosity), y (distance from wall), τ<0xE1><0xB5><0xA4> (wall shear stress). Wall Units (derived): u<0xE2><0x82><0x9C> (friction velocity = √(τ<0xE1><0xB5><0xA4>/ρ)), δ<0xE1><0xB5><0xA4> (viscous length scale = ν/u<0xE2><0x82><0x9C>). Dimensionless Wall Units: u⁺ = U/u<0xE2><0x82><0x9C> (dimensionless velocity), y⁺ = y u<0xE2><0x82><0x9C> / ν (dimensionless distance from the wall).",2024-07-27,1.0,Used to create universal profiles near the wall.,FluidDynamics;Turbulence;BoundaryLayer;WallUnits
"Why is DNS computationally expensive, especially at high Reynolds numbers? How do grid and time step requirements scale?","The range of turbulent scales increases dramatically with Re. To resolve the smallest (Kolmogorov) scales, the required number of grid points (N) scales roughly as Re⁹ᐟ⁴ or Re³. The required time step (Δt) must be small enough to resolve the fastest fluctuations, scaling roughly as Re⁻¹ᐟ² (based on friction velocity Re<0xE2><0x82><0x9C>). This leads to prohibitive computational cost for high Re flows.",2025-04-17,2.5,Re<0xE2><0x82><0x9C> is Reynolds number based on friction velocity.,CFD;Turbulence;DNS;Scaling;ComputationalCost
