front,back,next_review_date,interval_days,notes,tags,ease_factor,lapses,reviews
"Formula for total thrust of a rocket engine? Use $`\dot{m}_{prop}`$ (propellant mass flow), $`C_{exit}`$ (exit velocity), $`A_{exit}`$, $`P_{exit}`$, $`P_{atm}`$.",$`T = \dot{m}_{prop} C_{exit} + A_{exit}(P_{exit} - P_{atm})`$,2023-10-27,1.0,Note: $`C_{exit}`$ is often called effective exhaust velocity.,AER_MEC345;Thrust;RocketEngine;Formula;Math,2.5,0,0
How does rocket thrust equation differ from jet engine thrust?,Rocket uses propellant mass flow ($`\dot{m}_{prop}`$) vs air+fuel. Simple rocket momentum thrust ($`\dot{m}_{prop} C_{exit}`$) has no $`C_{aircraft}`$ term as it doesn't use incoming air.,2023-10-27,1.0,Pressure thrust term is similar.,AER_MEC345;Thrust;Comparison,2.5,0,0
Key topics in Rocket Flight Performance?,"Rocket Acceleration (Tsiolkovsky Rocket Equation), Rocket Staging, Escape Velocity, Space Flight trajectories, Orbital Velocity, Gravity Losses.",2023-10-27,1.0,,AER_MEC345;RocketFlight;Topics,2.5,0,0
How are spacecraft orbits typically changed?,"By firing rocket engines (performing burns) to change the spacecraft's velocity vector ($`\Delta V`$), altering the size and shape of the orbit.",2023-10-27,1.0,Example: Hohmann transfer.,AER_MEC345;RocketFlight;OrbitalMechanics,2.5,0,0
Main components of a basic gas turbine (turbojet) in order?,"Inlet, Compressor, Combustion Chamber, Turbine, Propelling Nozzle.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Turbojet;Components,2.5,0,0
Why are jet engine inlets important?,"Critical for performance; guide airflow smoothly into the engine; aim to provide uniform, stable flow to the compressor/fan with minimal pressure loss.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Inlet,2.5,0,0
Advantages of axial compressors?,"High mass flow rate capacity for a given frontal area (lower drag), high pressure ratios achievable with multiple stages.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Axial,2.5,0,0
What constitutes one 'stage' of an axial compressor?,A set of rotating blades (rotor) followed by a set of stationary blades (stator).,2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Axial,2.5,0,0
Function of rotor blades in an axial compressor?,"To rotate and add kinetic energy to the airflow, increasing its velocity and total pressure.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Axial,2.5,0,0
Function of stator blades in an axial compressor?,"To remain stationary, slow down the airflow (converting kinetic energy into static pressure increase), and redirect the flow for the next rotor stage.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Axial,2.5,0,0
When are centrifugal compressors typically used?,"Where a high pressure rise per stage is needed, in smaller engines (turboshaft, turboprop, APUs), or as the final stage in some axial compressors.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Centrifugal,2.5,0,0
Disadvantage of centrifugal compressors vs axial?,Tend to have larger frontal areas for the same mass flow; less efficient at very high pressure ratios compared to multi-stage axial.,2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Centrifugal,2.5,0,0
Basic flow path through a centrifugal compressor?,"Air enters axially into the central 'eye' of the impeller, is thrown radially outwards gaining kinetic energy, and then passes through a diffuser section which slows the flow and increases static pressure.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Compressor;Centrifugal,2.5,0,0
Primary purpose of the combustor?,To add thermal energy (enthalpy) to the compressed air by burning fuel at near constant pressure.,2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Combustor,2.5,0,0
What does the hot gas from the combustor do?,"It expands through the turbine, driving it, and then expands further through the nozzle to produce thrust.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Operation,2.5,0,0
Typical physical arrangement of a combustor?,Often an annular (ring-shaped) chamber surrounding the main shaft between the compressor outlet and turbine inlet.,2023-10-27,1.0,"Other types: can, cannular.",AER_MEC345;GasTurbine;Components;Combustor,2.5,0,0
Primary purpose of the turbine?,"To extract energy from the hot, high-pressure gas flow from the combustor to drive the compressor and any other components (fan, gearbox, generator).",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Turbine,2.5,0,0
How does turbine stage function differ from compressor stage?,"Turbine extracts energy from flow (work done BY fluid ON blades, pressure drops); Compressor adds energy to flow (work done ON fluid BY blades, pressure rises).",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Comparison,2.5,0,0
What constitutes one 'stage' of an axial turbine?,"A set of stationary blades (stators, or Nozzle Guide Vanes - NGVs) followed by a set of rotating blades (rotors).",2025-04-16,1.0,,AER_MEC345;GasTurbine;Components;Turbine;Axial,2.5,0,1
Function of stator blades (NGVs) in a turbine?,To accelerate the hot gas and direct it at the optimum angle onto the moving rotor blades.,2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Turbine;Axial,2.5,0,0
Function of rotor blades in a turbine?,"To rotate as the high-velocity gas impinges on them, extracting kinetic and pressure energy from the flow to turn the shaft.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components;Turbine;Axial,2.5,0,0
"In a turbofan, where does most air go?","Most air bypasses the engine core, flowing through the duct surrounding the core.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Turbofan;Operation,2.5,0,0
Where does thrust come from in a turbofan?,"A portion comes from the hot gas exiting the core nozzle, but the majority (especially in high bypass engines) comes from the cooler, larger mass flow of air accelerated by the fan through the bypass duct.",2023-10-27,1.0,,AER_MEC345;Thrust;Turbofan,2.5,0,0
What is 'bypass ratio' (BPR)?,The ratio of the mass flow rate of air bypassing the core ($`\dot{m}_{bypass}`$) to the mass flow rate of air entering the core ($`\dot{m}_{core}`$). $`BPR = \dot{m}_{bypass} / \dot{m}_{core}`$.,2023-10-27,1.0,,AER_MEC345;GasTurbine;Turbofan;Definitions;Formula;Math,2.5,0,0
What constitutes the 'engine core' (gas generator) of a turbofan?,"The compressor(s), combustor, and turbine(s) that generate the power to drive the fan and produce core thrust.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Turbofan;Components,2.5,0,0
What is a 'twin spool' (two-spool) turbofan?,Has two concentric rotating shafts. The Low Pressure (LP) spool connects the fan and LP compressor stages to the LP turbine stages. The High Pressure (HP) spool connects the HP compressor stages to the HP turbine stages.,2023-10-27,1.0,LP spool rotates slower than HP spool.,AER_MEC345;GasTurbine;Turbofan;Design,2.5,0,0
What is a 'triple spool' (three-spool) turbofan?,"Has three concentric rotating shafts. Adds an Intermediate Pressure (IP) spool between the LP (Fan) and HP spools. Allows each section (LP, IP, HP) to run closer to its optimum aerodynamic speed.",2023-10-27,1.0,"Used by Rolls-Royce (e.g., Trent series).",AER_MEC345;GasTurbine;Turbofan;Design,2.5,0,0
What fundamental science underpins aerospace propulsion?,Thermodynamics and thermodynamic cycles.,2023-10-27,1.0,,AER_MEC345;Principles;Thermodynamics,2.5,0,0
What thermodynamic cycle is fundamental to gas turbine operation?,The Brayton cycle.,2023-10-27,1.0,,AER_MEC345;Principles;Thermodynamics;Cycles;Brayton,2.5,0,0
